icao,airport_name,city,state,country,airport_link,source_url,raw_image,cleaned_image,status,error,crop_bbox
KLAF,Purdue University,Lafayette,IN,USA,https://acukwik.com/Airport-Info/KLAF,https://acukwik.com/extimages/Listing-Images/KLAF.jpg,runway_diagrams/raw/KLAF.jpg,runway_diagrams/cleaned/KLAF.jpg,ok,,"0,0,414,306"
KLAL,Lakeland Linder International,Lakeland,FL,USA,https://acukwik.com/Airport-Info/KLAL,https://acukwik.com/extimages/Listing-Images/KLAL.jpg,runway_diagrams/raw/KLAL.jpg,runway_diagrams/cleaned/KLAL.jpg,ok,,"0,0,575,450"
KLAN,Capital Region International,Lansing,MI,USA,https://acukwik.com/Airport-Info/KLAN,https://acukwik.com/extimages/Listing-Images/KLAN.jpg,runway_diagrams/raw/KLAN.jpg,runway_diagrams/cleaned/KLAN.jpg,ok,,"0,0,575,450"
KLAS,Harry Reid International,Las Vegas,NV,USA,https://acukwik.com/Airport-Info/KLAS,https://acukwik.com/extimages/Listing-Images/KLAS.jpg,runway_diagrams/raw/KLAS.jpg,runway_diagrams/cleaned/KLAS.jpg,ok,,"0,0,575,600"
KLAW,Fort Sill Regional Lawton,Lawton,OK,USA,https://acukwik.com/Airport-Info/KLAW,https://acukwik.com/extimages/Listing-Images/KLAW.jpg,runway_diagrams/raw/KLAW.jpg,runway_diagrams/cleaned/KLAW.jpg,ok,,"0,0,414,432"
KLAX,Los Angeles International,Los Angeles,CA,USA,https://acukwik.com/Airport-Info/KLAX,https://acukwik.com/extimages/Listing-Images/KLAX.jpg,runway_diagrams/raw/KLAX.jpg,runway_diagrams/cleaned/KLAX.jpg,ok,,"0,0,575,625"
KLBB,Lubbock Preston Smith International,Lubbock,TX,USA,https://acukwik.com/Airport-Info/KLBB,https://acukwik.com/extimages/Listing-Images/KLBB.jpg,runway_diagrams/raw/KLBB.jpg,runway_diagrams/cleaned/KLBB.jpg,ok,,"0,0,575,650"
KLBE,Arnold Palmer Regional,Latrobe,PA,USA,https://acukwik.com/Airport-Info/KLBE,https://acukwik.com/extimages/Listing-Images/KLBE.jpg,runway_diagrams/raw/KLBE.jpg,runway_diagrams/cleaned/KLBE.jpg,ok,,"0,0,414,378"
KLBF,North Platte Regional/Lee Bird Field,North Platte,NE,USA,https://acukwik.com/Airport-Info/KLBF,https://acukwik.com/extimages/Listing-Images/KLBF.jpg,runway_diagrams/raw/KLBF.jpg,runway_diagrams/cleaned/KLBF.jpg,ok,,"0,0,414,324"
KLBL,Liberal Mid-America Regional,Liberal,KS,USA,https://acukwik.com/Airport-Info/KLBL,https://acukwik.com/extimages/Listing-Images/KLBL.jpg,runway_diagrams/raw/KLBL.jpg,runway_diagrams/cleaned/KLBL.jpg,ok,,"0,0,575,550"
KLCI,Laconia Municipal,Laconia,NH,USA,https://acukwik.com/Airport-Info/KLCI,https://acukwik.com/extimages/Listing-Images/KLCI.jpg,runway_diagrams/raw/KLCI.jpg,runway_diagrams/cleaned/KLCI.jpg,ok,,"0,0,575,500"
KLCK,Rickenbacker International,Columbus,OH,USA,https://acukwik.com/Airport-Info/KLCK,https://acukwik.com/extimages/Listing-Images/KLCK.jpg,runway_diagrams/raw/KLCK.jpg,runway_diagrams/cleaned/KLCK.jpg,ok,,"0,0,575,500"
KLDJ,Linden,Linden,NJ,USA,https://acukwik.com/Airport-Info/KLDJ,https://acukwik.com/extimages/Listing-Images/KLDJ.jpg,runway_diagrams/raw/KLDJ.jpg,runway_diagrams/cleaned/KLDJ.jpg,ok,,"0,0,414,306"
KLEB,Lebanon Municipal,Lebanon,NH,USA,https://acukwik.com/Airport-Info/KLEB,https://acukwik.com/extimages/Listing-Images/KLEB.jpg,runway_diagrams/raw/KLEB.jpg,runway_diagrams/cleaned/KLEB.jpg,ok,,"0,0,575,500"
KLEX,Blue Grass,Lexington,KY,USA,https://acukwik.com/Airport-Info/KLEX,https://acukwik.com/extimages/Listing-Images/KLEX.jpg,runway_diagrams/raw/KLEX.jpg,runway_diagrams/cleaned/KLEX.jpg,ok,,"0,0,575,650"
KLFT,Lafayette Regional,Lafayette,LA,USA,https://acukwik.com/Airport-Info/KLFT,https://acukwik.com/extimages/Listing-Images/KLFT.jpg,runway_diagrams/raw/KLFT.jpg,runway_diagrams/cleaned/KLFT.jpg,ok,,"0,0,1000,957"
